Rank,Points,Team,University,Finish Time,Rank Gap,Lead Gap
1,30 Pts,The Stallions,Lancaster,Nov 01 @ 16:29:45,-,-
2,29 Pts,Piethon,Lancaster,Nov 01 @ 16:30:39,+54 sec,+54 sec
3,28 Pts,The Famtastic Lomgbois,Lancaster,Nov 01 @ 16:31:06,+27 sec,+1 min
4,27 Pts,Gonzo Masters,Lancaster,Nov 01 @ 16:31:07,+1 sec,+1 min
5,26 Pts,NULL,Northumbria,Nov 01 @ 16:31:20,+13 sec,+1 min
6,25 Pts,Hacky McHackface,Southwales,Nov 01 @ 17:07:57,+36 min,+38 min
7,24 Pts,Seg Fault Squad,Rhul,Nov 01 @ 17:09:00,+1 min,+39 min
8,23 Pts,SIGINT,ED,Nov 01 @ 18:05:20,+56 min,+1 hrs
9,22 Pts,unb00tables,Manchester,Nov 01 @ 18:27:56,+22 min,+1 hrs
10,21 Pts,Runtime Terror,Lancaster,Nov 01 @ 18:31:47,+3 min,+2 hrs
11,20 Pts,413Payload2Large,Bournemouth,Nov 01 @ 19:01:51,+30 min,+2 hrs
12,20 Pts,BackSlasher,Blackpool,Nov 01 @ 20:35:23,+1 hrs,+4 hrs
13,9 Pts,The Famtastic Lomgbois,Lancaster,In Progress (90%),-,-
14,9 Pts,JEKyll,Bham,In Progress (90%),-,-
15,9 Pts,licensed_winrar,Napier,In Progress (90%),-,-
16,7 Pts,Hackingham,Nottingham,In Progress (70%),-,-
17,7 Pts,SESH A,Sheffield,In Progress (70%),-,-
18,7 Pts,Hacks out for Harambe,Leedsbeckett,In Progress (70%),-,-
19,7 Pts,M4nch35t3r,Manchester,In Progress (70%),-,-
20,6 Pts,BackSlasher,Blackpool,In Progress (60%),-,-
21,6 Pts,0x03f3,Myport,In Progress (60%),-,-
22,5 Pts,z00mers,Kent,In Progress (50%),-,-
23,4 Pts,csgrodo,Rhul,In Progress (40%),-,-
24,2 Pts,Netrunning with the Devil,Coventry,In Progress (20%),-,-
25,2 Pts,0xDEADBEEF,Rhul,In Progress (20%),-,-
26,1 Pts,Bl4ckSn@k3_C3lul4,ESPOL,In Progress (10%),-,-
27,1 Pts,Flat 4,LE,In Progress (10%),-,-
28,1 Pts,IDORa the Exploiter,Liverpool,In Progress (10%),-,-
29,1 Pts,SnailSquad,Liverpool,In Progress (10%),-,-
